periodo_academico: 202264, curso_codigo: EDUC_3183, curso_nombre: ACADEMIC READING AND WRITIN II, genero: hombre, cantidad_estudiantes: 48
periodo_academico: 202264, curso_codigo: EDUC_3183, curso_nombre: ACADEMIC READING AND WRITIN II, genero: mujer, cantidad_estudiantes: 30
periodo_academico: 202264, curso_codigo: EDUC_3178, curso_nombre: ACADEMIC READING AND WRITING I, genero: hombre, cantidad_estudiantes: 67
periodo_academico: 202264, curso_codigo: EDUC_3178, curso_nombre: ACADEMIC READING AND WRITING I, genero: mujer, cantidad_estudiantes: 62
periodo_academico: 202264, curso_codigo: EDUC_3185, curso_nombre: ADAPTACIONES CURRICULARES Y DI, genero: hombre, cantidad_estudiantes: 47
periodo_academico: 202264, curso_codigo: EDUC_3185, curso_nombre: ADAPTACIONES CURRICULARES Y DI, genero: mujer, cantidad_estudiantes: 32
periodo_academico: 202264, curso_codigo: ADMI_2030, curso_nombre: ADMIN DE CAD DE SUM Y LOG EMPR, genero: hombre, cantidad_estudiantes: 99
periodo_academico: 202264, curso_codigo: ADMI_2030, curso_nombre: ADMIN DE CAD DE SUM Y LOG EMPR, genero: mujer, cantidad_estudiantes: 95
periodo_academico: 202264, curso_codigo: ADMI_1026, curso_nombre: ADMINISTRACION, genero: hombre, cantidad_estudiantes: 2
periodo_academico: 202264, curso_codigo: ADMI_1109, curso_nombre: ADMINISTRACION, genero: hombre, cantidad_estudiantes: 300
periodo_academico: 202264, curso_codigo: ADMI_1026, curso_nombre: ADMINISTRACION, genero: mujer, cantidad_estudiantes: 1
periodo_academico: 202264, curso_codigo: ADMI_1109, curso_nombre: ADMINISTRACION, genero: mujer, cantidad_estudiantes: 264
periodo_academico: 202264, curso_codigo: PIND_2010, curso_nombre: ADMINISTRACION DE OPERAC Y PR, genero: hombre, cantidad_estudiantes: 146
periodo_academico: 202264, curso_codigo: PIND_2010, curso_nombre: ADMINISTRACION DE OPERAC Y PR, genero: mujer, cantidad_estudiantes: 152
periodo_academico: 202264, curso_codigo: ADMI_4095, curso_nombre: ADMINISTRACION DE TECN Y SISTE, genero: hombre, cantidad_estudiantes: 82
periodo_academico: 202264, curso_codigo: ADMI_4095, curso_nombre: ADMINISTRACION DE TECN Y SISTE, genero: mujer, cantidad_estudiantes: 83
periodo_academico: 202264, curso_codigo: SIST_5001, curso_nombre: ADMINISTRACION DE TECNOLOGIAS, genero: hombre, cantidad_estudiantes: 47
periodo_academico: 202264, curso_codigo: SIST_5001, curso_nombre: ADMINISTRACION DE TECNOLOGIAS, genero: mujer, cantidad_estudiantes: 66
periodo_academico: 202264, curso_codigo: LABO_3002, curso_nombre: ADMINISTRACION DEL TALENTO HUM, genero: hombre, cantidad_estudiantes: 152
periodo_academico: 202264, curso_codigo: LABO_3002, curso_nombre: ADMINISTRACION DEL TALENTO HUM, genero: mujer, cantidad_estudiantes: 152
periodo_academico: 202264, curso_codigo: ADMI_5005, curso_nombre: ADMINISTRACION ESTRATEGICA, genero: hombre, cantidad_estudiantes: 80
periodo_academico: 202264, curso_codigo: ADMI_5066, curso_nombre: ADMINISTRACION ESTRATEGICA, genero: hombre, cantidad_estudiantes: 79
periodo_academico: 202264, curso_codigo: ADMI_5005, curso_nombre: ADMINISTRACION ESTRATEGICA, genero: mujer, cantidad_estudiantes: 80
periodo_academico: 202264, curso_codigo: ADMI_5066, curso_nombre: ADMINISTRACION ESTRATEGICA, genero: mujer, cantidad_estudiantes: 65
periodo_academico: 202264, curso_codigo: FINZ_4057, curso_nombre: ADMINISTRACION FINANCIERA, genero: hombre, cantidad_estudiantes: 73
periodo_academico: 202264, curso_codigo: FINZ_4057, curso_nombre: ADMINISTRACION FINANCIERA, genero: mujer, cantidad_estudiantes: 63
periodo_academico: 202264, curso_codigo: ECON_4112, curso_nombre: ADMINISTRACION FINANCIERA OPER, genero: hombre, cantidad_estudiantes: 17
periodo_academico: 202264, curso_codigo: ECON_4112, curso_nombre: ADMINISTRACION FINANCIERA OPER, genero: mujer, cantidad_estudiantes: 15
periodo_academico: 202264, curso_codigo: ADMI_1009, curso_nombre: ADMINISTRACION I, genero: hombre, cantidad_estudiantes: 1
periodo_academico: 202264, curso_codigo: ADMI_1009, curso_nombre: ADMINISTRACION I, genero: mujer, cantidad_estudiantes: 1
periodo_academico: 202264, curso_codigo: ARTE_1050, curso_nombre: AEROGRAFIA, genero: hombre, cantidad_estudiantes: 2
periodo_academico: 202264, curso_codigo: ARTE_1050, curso_nombre: AEROGRAFIA, genero: mujer, cantidad_estudiantes: 1
periodo_academico: 202264, curso_codigo: MATE_1108, curso_nombre: ALGEBRA LINEAL, genero: hombre, cantidad_estudiantes: 293
periodo_academico: 202264, curso_codigo: MATE_1108, curso_nombre: ALGEBRA LINEAL, genero: mujer, cantidad_estudiantes: 279
periodo_academico: 202264, curso_codigo: MATE_2029, curso_nombre: ANA MATEMATICO MULTIVARIADO, genero: hombre, cantidad_estudiantes: 18
periodo_academico: 202264, curso_codigo: MATE_2029, curso_nombre: ANA MATEMATICO MULTIVARIADO, genero: mujer, cantidad_estudiantes: 16
periodo_academico: 202264, curso_codigo: TURI_4022, curso_nombre: ANALISIS DE MERCADOS TURISTICO, genero: hombre, cantidad_estudiantes: 12
periodo_academico: 202264, curso_codigo: TURI_4022, curso_nombre: ANALISIS DE MERCADOS TURISTICO, genero: mujer, cantidad_estudiantes: 7
